id,name,value_id,value_name,value_struct,values,value_type,site_id,title,seller_id,category_id,official_store_id,price,base_price,original_price,currency_id,initial_quantity,catalog_product_id
MLA1597574484,Tipo de garantía,2230280,Garantía del vendedor,,"[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]",list,MLA,Parlante Google Home Mini Asistente Virtual Refabricado,284824585,MLA409415,,69990.0,69990.0,,ARS,177,MLA15541914
MLA1597574484,Tiempo de garantía,,3 meses,"{'number': 3, 'unit': 'meses'}","[{'id': None, 'name': '3 meses', 'struct': {'number': 3, 'unit': 'meses'}}]",number_unit,MLA,Parlante Google Home Mini Asistente Virtual Refabricado,284824585,MLA409415,,69990.0,69990.0,,ARS,177,MLA15541914
MLA926322306,Tiempo de garantía,,12 meses,"{'number': 12, 'unit': 'meses'}","[{'id': None, 'name': '12 meses', 'struct': {'number': 12, 'unit': 'meses'}}]",number_unit,MLA,"Google Nest Hub Con Asistente Virtual Google Assistant, Pantalla Integrada De 7  Charcoal 110/220v",86543122,MLA409415,,315000.0,315000.0,,ARS,5,MLA15532617
MLA926322306,Tipo de garantía,2230279,Garantía de fábrica,,"[{'id': '2230279', 'name': 'Garantía de fábrica', 'struct': None}]",list,MLA,"Google Nest Hub Con Asistente Virtual Google Assistant, Pantalla Integrada De 7  Charcoal 110/220v",86543122,MLA409415,,315000.0,315000.0,,ARS,5,MLA15532617
MLA930506223,Tipo de garantía,2230280,Garantía del vendedor,,"[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]",list,MLA,Soporte Montaje Embutido Pared Google Home Hub Mountgenie,86543122,MLA409415,,19900.0,19900.0,,ARS,50,
MLA930506223,Tiempo de garantía,,2 años,"{'number': 2, 'unit': 'años'}","[{'id': None, 'name': '2 años', 'struct': {'number': 2, 'unit': 'años'}}]",number_unit,MLA,Soporte Montaje Embutido Pared Google Home Hub Mountgenie,86543122,MLA409415,,19900.0,19900.0,,ARS,50,
MLA1400506527,Tipo de garantía,2230280,Garantía del vendedor,,"[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]",list,MLA,Google Home Mini Multi-room Google Assistant Refabricado,284824585,MLA409415,,84990.0,84990.0,,ARS,1,MLA15541914
MLA1400506527,Tiempo de garantía,,3 meses,"{'number': 3, 'unit': 'meses'}","[{'id': None, 'name': '3 meses', 'struct': {'number': 3, 'unit': 'meses'}}]",number_unit,MLA,Google Home Mini Multi-room Google Assistant Refabricado,284824585,MLA409415,,84990.0,84990.0,,ARS,1,MLA15541914
MLA2011107376,Tiempo de garantía,,30 días,"{'number': 30, 'unit': 'días'}","[{'id': None, 'name': '30 días', 'struct': {'number': 30, 'unit': 'días'}}]",number_unit,MLA,Prte Pared 45º Ggle Hme Hub 138x60mm Nextsale Clr Negr,738783679,MLA409415,133542,10900.0,10900.0,,ARS,12997,MLA45574146
MLA2011107376,Tipo de garantía,2230279,Garantía de fábrica,,"[{'id': '2230279', 'name': 'Garantía de fábrica', 'struct': None}]",list,MLA,Prte Pared 45º Ggle Hme Hub 138x60mm Nextsale Clr Negr,738783679,MLA409415,133542,10900.0,10900.0,,ARS,12997,MLA45574146
MLA1110314122,Tipo de garantía,2230279,Garantía de fábrica,,"[{'id': '2230279', 'name': 'Garantía de fábrica', 'struct': None}]",list,MLA,Soporte Pared 45º Google Home Hub Base 138x60mm Nextsale,738783679,MLA409415,133542,10900.0,10900.0,,ARS,25998,MLA45574145
MLA1110314122,Tiempo de garantía,,30 días,"{'number': 30, 'unit': 'días'}","[{'id': None, 'name': '30 días', 'struct': {'number': 30, 'unit': 'días'}}]",number_unit,MLA,Soporte Pared 45º Google Home Hub Base 138x60mm Nextsale,738783679,MLA409415,133542,10900.0,10900.0,,ARS,25998,MLA45574145
MLA1400539531,Tipo de garantía,2230280,Garantía del vendedor,,"[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]",list,MLA,Google Home Mini Asistente Virtual Google Assistant Ref,284824585,MLA409415,,64990.0,64990.0,,ARS,3,MLA15541914
MLA1400539531,Tiempo de garantía,,3 meses,"{'number': 3, 'unit': 'meses'}","[{'id': None, 'name': '3 meses', 'struct': {'number': 3, 'unit': 'meses'}}]",number_unit,MLA,Google Home Mini Asistente Virtual Google Assistant Ref,284824585,MLA409415,,64990.0,64990.0,,ARS,3,MLA15541914
MLA1110377590,Tipo de garantía,2230279,Garantía de fábrica,,"[{'id': '2230279', 'name': 'Garantía de fábrica', 'struct': None}]",list,MLA,Soporte De Pared Google Mini Home / Nest Mini 2da Generacion,738783679,MLA409415,133542,10900.0,10900.0,,ARS,38957,
MLA1110377590,Tiempo de garantía,,30 días,"{'number': 30, 'unit': 'días'}","[{'id': None, 'name': '30 días', 'struct': {'number': 30, 'unit': 'días'}}]",number_unit,MLA,Soporte De Pared Google Mini Home / Nest Mini 2da Generacion,738783679,MLA409415,133542,10900.0,10900.0,,ARS,38957,
MLA1480178625,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,"Google Home Mini, Muy Buen Estado, Anda Perfecto. Leer!!!",49070819,MLA409415,,74000.0,74000.0,,ARS,1,MLA15541914
MLA1569955706,Tipo de garantía,2230279,Garantía de fábrica,,"[{'id': '2230279', 'name': 'Garantía de fábrica', 'struct': None}]",list,MLA,Google Home Asistente Virtual Google Assistant White Y Slate,781556525,MLA409415,,220000.0,220000.0,,ARS,1,MLA15536758
MLA1569955706,Tiempo de garantía,,3 meses,"{'number': 3, 'unit': 'meses'}","[{'id': None, 'name': '3 meses', 'struct': {'number': 3, 'unit': 'meses'}}]",number_unit,MLA,Google Home Asistente Virtual Google Assistant White Y Slate,781556525,MLA409415,,220000.0,220000.0,,ARS,1,MLA15536758
MLA1364551668,Tipo de garantía,2230280,Garantía del vendedor,,"[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]",list,MLA,Parlante Inteligente Google Home Mini  Youtube Usado Gris,284824585,MLA409415,,58990.0,58990.0,,ARS,4,MLA15541914
MLA1364551668,Tiempo de garantía,,3 meses,"{'number': 3, 'unit': 'meses'}","[{'id': None, 'name': '3 meses', 'struct': {'number': 3, 'unit': 'meses'}}]",number_unit,MLA,Parlante Inteligente Google Home Mini  Youtube Usado Gris,284824585,MLA409415,,58990.0,58990.0,,ARS,4,MLA15541914
MLA1361515563,Tipo de garantía,2230280,Garantía del vendedor,,"[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]",list,MLA,Parlante Inteligente Google Home Mini Smart Speaker Spotify,119914491,MLA409415,,58990.0,58990.0,,ARS,5,MLA15541914
MLA1361515563,Tiempo de garantía,,3 meses,"{'number': 3, 'unit': 'meses'}","[{'id': None, 'name': '3 meses', 'struct': {'number': 3, 'unit': 'meses'}}]",number_unit,MLA,Parlante Inteligente Google Home Mini Smart Speaker Spotify,119914491,MLA409415,,58990.0,58990.0,,ARS,5,MLA15541914
MLA1361528507,Tipo de garantía,2230280,Garantía del vendedor,,"[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]",list,MLA,Parlante Inteligente Google Home Mini Smart Speaker Gris Yt,309453406,MLA409415,,62990.0,62990.0,,ARS,3,MLA15541914
MLA1361528507,Tiempo de garantía,,3 meses,"{'number': 3, 'unit': 'meses'}","[{'id': None, 'name': '3 meses', 'struct': {'number': 3, 'unit': 'meses'}}]",number_unit,MLA,Parlante Inteligente Google Home Mini Smart Speaker Gris Yt,309453406,MLA409415,,62990.0,62990.0,,ARS,3,MLA15541914
MLA2030523082,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,Google Home Mini Google Assistant Gris Gris,57556659,MLA409415,,50000.0,50000.0,,ARS,1,MLA15541916
MLA1412480803,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,Google Home Mini Negro,112541789,MLA409415,,90000.0,90000.0,,ARS,1,MLA15541914
